P,T,vf,vg,uf,ug,hf,hfg,hg,sf,sg
1.9,118.6,0.001059,0.9293,497.6,2527.3,497.8,2206.1,2703.9,1.513,7.144
2,120.2,0.001061,0.8857,504.5,2529.1,504.7,2201.6,2706.2,1.53,7.127
2.2,123.3,0.001063,0.8101,517.4,2532.4,517.6,2193,2710.6,1.563,7.095
2.4,126.1,0.001066,0.7467,529.4,2535.4,529.6,2185,2714.6,1.593,7.066
2.6,128.7,0.001068,0.6928,540.6,2538.2,540.9,2177.4,2718.3,1.621,7.039
2.8,131.2,0.001071,0.6463,551.2,2540.8,551.5,2170.3,2721.7,1.647,7.015
3,133.5,0.001073,0.6058,561.1,2543.2,561.5,2163.4,2724.9,1.672,6.992
3.2,135.7,0.001075,0.5702,570.6,2545.4,570.9,2156.9,2727.9,1.695,6.97
3.4,137.8,0.001078,0.5387,579.6,2547.5,580,2150.7,2730.6,1.717,6.95
3.6,139.9,0.00108,0.5105,588.2,2549.5,588.6,2144.7,2733.3,1.738,6.931
3.8,141.8,0.001082,0.4852,596.4,2551.3,596.8,2138.9,2735.7,1.758,6.913
4,143.6,0.001084,0.4624,604.3,2553.1,604.7,2133.3,2738.1,1.777,6.895
4.2,145.4,0.001085,0.4417,611.9,2554.8,612.3,2127.9,2740.3,1.795,6.879
4.4,147.1,0.001087,0.4227,619.2,2556.4,619.7,2122.7,2742.4,1.812,6.863
4.6,148.7,0.001089,0.4054,626.2,2557.9,626.7,2117.6,2744.4,1.829,6.849
4.8,150.3,0.001091,0.3895,633,2559.3,633.6,2112.7,2746.3,1.845,6.834
5,151.8,0.001093,0.3748,639.6,2560.7,640.2,2107.9,2748.1,1.861,6.821
5.5,155.5,0.001097,0.3426,655.3,2563.9,655.9,2096.5,2752.3,1.897,6.789
6,158.8,0.001101,0.3156,669.8,2566.8,670.5,2085.6,2756.1,1.931,6.759
6.5,162,0.001104,0.2926,683.5,2569.4,684.2,2075.4,2759.6,1.963,6.732
7,165,0.001108,0.2728,696.4,2571.8,697.1,2065.6,2762.7,1.992,6.707
7.5,167.8,0.001111,0.2555,708.6,2574,709.4,2056.3,2765.6,2.02,6.684
8,170.4,0.001115,0.2403,720.1,2576,721,2047.3,2768.3,2.046,6.662
8.5,172.9,0.001118,0.2269,731.2,2577.9,732.1,2038.6,2770.8,2.071,6.641
9,175.4,0.001121,0.2149,741.7,2579.7,742.7,2030.3,2773,2.094,6.621
9.5,177.7,0.001124,0.2041,751.8,2581.3,752.9,2022.3,2775.2,2.117,6.603
10,179.9,0.001127,0.1943,761.6,2582.8,762.7,2014.4,2777.1,2.138,6.585
11,184.1,0.001133,0.1774,780,2585.5,781.2,1999.5,2780.7,2.179,6.552
12,188,0.001139,0.1632,797.1,2587.9,798.5,1985.3,2783.8,2.216,6.522
13,191.6,0.001144,0.1512,813.3,2590,814.8,1971.7,2786.5,2.251,6.494
14,195,0.001149,0.1408,828.5,2591.8,830.1,1958.8,2788.9,2.284,6.468
15,198.3,0.001154,0.1317,843,2593.5,844.7,1946.3,2791,2.315,6.443
16,201.4,0.001159,0.1237,856.8,2594.9,858.6,1934.3,2792.9,2.344,6.42
17,204.3,0.001163,0.1167,869.9,2596.2,871.9,1922.6,2794.5,2.371,6.398
18,207.1,0.001168,0.1104,882.5,2597.3,884.6,1911.4,2796,2.398,6.378
19,209.8,0.001172,0.1047,894.6,2598.3,896.8,1900.4,2797.3,2.423,6.358
20,212.4,0.001177,0.09958,906.3,2599.2,908.6,1889.8,2798.4,2.447,6.339
21,214.9,0.001181,0.09493,917.5,2600,920,1879.4,2799.4,2.47,6.321
22,217.3,0.001185,0.0907,928.4,2600.7,931,1869.2,2800.2,2.492,6.304
23,219.6,0.001189,0.08681,938.9,2601.3,941.6,1859.3,2800.9,2.514,6.287
24,221.8,0.001193,0.08324,949.1,2601.8,952,1849.6,2801.5,2.534,6.271
25,224,0.001197,0.07995,959,2602.2,962,1840.1,2802,2.554,6.256
26,226.1,0.001201,0.0769,968.6,2602.5,971.7,1830.7,2802.5,2.574,6.241
27,228.1,0.001205,0.07407,978,2602.8,981.2,1821.5,2802.8,2.593,6.227
28,230.1,0.001209,0.07143,987.1,2603,990.5,1812.5,2803,2.611,6.213
29,232,0.001213,0.06897,996,2603.2,999.5,1803.6,2803.2,2.628,6.199
30,233.9,0.001217,0.06666,1004.7,2603.3,1008.4,1794.9,2803.3,2.646,6.186
31,235.7,0.00122,0.0645,1013.2,2603.3,1017,1786.3,2803.3,2.662,6.173
32,237.5,0.001224,0.06247,1021.5,2603.3,1025.5,1777.8,2803.2,2.679,6.16
33,239.2,0.001228,0.06056,1029.7,2603.3,1033.7,1769.4,2803.1,2.695,6.148
34,240.9,0.001231,0.05876,1037.6,2603.2,1041.8,1761.1,2803,2.71,6.136
35,242.6,0.001235,0.05706,1045.5,2603,1049.8,1753,2802.7,2.725,6.125
36,244.2,0.001239,0.05545,1053.1,2602.9,1057.6,1744.9,2802.5,2.74,6.113
37,245.8,0.001242,0.05392,1060.6,2602.6,1065.2,1736.9,2802.1,2.755,6.102
38,247.3,0.001246,0.05247,1068,2602.4,1072.8,1729,2801.8,2.769,6.091
39,248.9,0.001249,0.05109,1075.3,2602.1,1080.2,1721.2,2801.4,2.783,6.08
40,250.4,0.001253,0.04978,1082.4,2601.8,1087.4,1713.5,2800.9,2.797,6.07
41,251.8,0.001256,0.04853,1089.4,2601.4,1094.6,1705.8,2800.4,2.81,6.059
42,253.3,0.001259,0.04733,1096.3,2601.1,1101.6,1698.2,2799.9,2.823,6.049
43,254.7,0.001263,0.04619,1103.1,2600.6,1108.6,1690.7,2799.3,2.836,6.039
44,256.1,0.001266,0.0451,1109.8,2600.2,1115.4,1683.2,2798.7,2.849,6.029
45,257.4,0.00127,0.04406,1116.4,2599.7,1122.1,1675.9,2798,2.861,6.02
46,258.8,0.001273,0.04306,1122.9,2599.2,1128.8,1668.5,2797.3,2.874,6.01
47,260.1,0.001276,0.0421,1129.3,2598.7,1135.3,1661.2,2796.6,2.886,6.001
48,261.4,0.00128,0.04118,1135.7,2598.2,1141.8,1654,2795.8,2.898,5.992
49,262.7,0.001283,0.0403,1141.9,2597.6,1148.2,1646.8,2795,2.909,5.983
50,263.9,0.001286,0.03945,1148.1,2597,1154.5,1639.7,2794.2,2.921,5.974
51,265.2,0.00129,0.03863,1154.2,2596.4,1160.7,1632.7,2793.4,2.932,5.965
52,266.4,0.001293,0.03784,1160.2,2595.7,1166.9,1625.6,2792.5,2.943,5.956
53,267.6,0.001296,0.03708,1166.1,2595.1,1173,1618.6,2791.6,2.954,5.948
54,268.8,0.0013,0.03635,1172,2594.4,1179,1611.7,2790.7,2.965,5.939
55,270,0.001303,0.03564,1177.8,2593.7,1184.9,1604.8,2789.7,2.976,5.931
56,271.1,0.001306,0.03496,1183.5,2593,1190.8,1597.9,2788.7,2.986,5.922
57,272.3,0.001309,0.0343,1189.2,2592.2,1196.6,1591.1,2787.7,2.997,5.914
58,273.4,0.001313,0.03366,1194.8,2591.5,1202.4,1584.3,2786.7,3.007,5.906
59,274.5,0.001316,0.03305,1200.3,2590.7,1208.1,1577.6,2785.6,3.017,5.898
60,275.6,0.001319,0.03245,1205.8,2589.9,1213.7,1570.8,2784.6,3.027,5.89
62,277.7,0.001326,0.03131,1216.6,2588.2,1224.9,1557.5,2782.3,3.047,5.874
64,279.8,0.001332,0.03024,1227.3,2586.5,1235.8,1544.2,2780,3.067,5.859
66,281.9,0.001339,0.02923,1237.7,2584.7,1246.5,1531.1,2777.6,3.085,5.844
68,283.9,0.001345,0.02828,1247.9,2582.8,1257.1,1518.1,2775.1,3.104,5.829
70,285.8,0.001352,0.02738,1258,2580.9,1267.4,1505.1,2772.6,3.122,5.815
72,287.7,0.001358,0.02653,1267.9,2578.9,1277.7,1492.3,2769.9,3.14,5.8
74,289.6,0.001365,0.02572,1277.6,2576.9,1287.7,1479.5,2767.2,3.157,5.786
76,291.4,0.001371,0.02495,1287.2,2574.8,1297.6,1466.8,2764.4,3.174,5.772
78,293.2,0.001378,0.02422,1296.7,2572.6,1307.4,1454.1,2761.5,3.191,5.758
80,295,0.001385,0.02353,1306,2570.4,1317.1,1441.5,2758.6,3.208,5.745
82,296.7,0.001391,0.02286,1315.2,2568.1,1326.6,1429,2755.6,3.224,5.731
84,298.4,0.001398,0.02223,1324.3,2565.8,1336,1416.5,2752.5,3.24,5.718
86,300.1,0.001405,0.02163,1333.3,2563.4,1345.3,1404,2749.4,3.256,5.705
88,301.7,0.001411,0.02105,1342.1,2560.9,1354.5,1391.6,2746.2,3.271,5.692
90,303.3,0.001418,0.02049,1350.9,2558.4,1363.7,1379.2,2742.9,3.287,5.679
92,304.9,0.001425,0.01996,1359.6,2555.9,1372.7,1366.9,2739.5,3.302,5.666
94,306.5,0.001432,0.01945,1368.1,2553.3,1381.6,1354.5,2736.1,3.317,5.653
96,308,0.001439,0.01896,1376.6,2550.6,1390.4,1342.2,2732.6,3.331,5.641
98,309.5,0.001446,0.01849,1385,2547.9,1399.2,1329.9,2729.1,3.346,5.628
100,311,0.001453,0.01803,1393.3,2545.1,1407.9,1317.6,2725.5,3.36,5.616
105,314.6,0.00147,0.01697,1413.8,2538,1429.3,1286.9,2716.1,3.396,5.585
110,318.1,0.001489,0.01599,1433.9,2530.5,1450.3,1256.1,2706.4,3.43,5.555
115,321.4,0.001507,0.0151,1453.6,2522.6,1470.9,1225.3,2696.2,3.464,5.524
120,324.7,0.001526,0.01427,1473,2514.4,1491.3,1194.3,2685.6,3.496,5.494
125,327.8,0.001546,0.0135,1492.1,2505.7,1511.5,1163,2674.5,3.529,5.464
130,330.9,0.001566,0.01279,1511,2496.7,1531.4,1131.5,2662.9,3.561,5.434
135,333.8,0.001588,0.01212,1529.8,2487.2,1551.2,1099.6,2650.8,3.592,5.404
140,336.7,0.00161,0.01149,1548.3,2477.2,1570.9,1067.2,2638.1,3.623,5.373
145,339.5,0.001633,0.0109,1566.8,2466.8,1590.5,1034.3,2624.8,3.654,5.342
150,342.2,0.001657,0.01034,1585.3,2455.8,1610.2,1000.7,2610.9,3.684,5.311
155,344.8,0.001682,0.009811,1603.8,2444.1,1629.9,966.4,2596.2,3.715,5.279
160,347.4,0.00171,0.009308,1622.3,2431.9,1649.7,931.1,2580.8,3.746,5.246
165,349.9,0.001738,0.008828,1641,2418.9,1669.7,894.9,2564.6,3.776,5.213
170,352.3,0.001769,0.008369,1660,2405.1,1690,857.4,2547.4,3.808,5.179
175,354.7,0.001803,0.007927,1679.2,2390.4,1710.8,818.4,2529.1,3.839,5.143
180,357,0.001839,0.007499,1698.9,2374.6,1732,777.5,2509.5,3.872,5.106
185,359.3,0.00188,0.007082,1719.2,2357.4,1754,734.4,2488.4,3.905,5.066
190,361.5,0.001925,0.006673,1740.3,2338.6,1776.9,688.5,2465.4,3.94,5.025
195,363.6,0.001977,0.006267,1762.5,2317.8,1801.1,638.9,2440,3.976,4.98
200,365.7,0.002039,0.005858,1786.3,2294.2,1827.1,584.3,2411.4,4.015,4.93
205,367.8,0.002114,0.005438,1812.6,2266.7,1855.9,522.3,2378.2,4.059,4.874
210,369.8,0.002212,0.004988,1842.9,2232.8,1889.4,448.1,2337.5,4.109,4.806
215,371.8,0.00236,0.004463,1882.1,2186.2,1932.8,349.4,2282.2,4.175,4.717
220,373.7,0.00275,0.003577,1961.4,2085.5,2021.9,142.3,2164.2,4.311,4.531
220.64,373.95,0.003106,0.003106,2019,2019,2087.5,0,2087.5,4.412,4.412
